alpha,step,alpha_curr,nll_W,nll_V,reg,train_acc,test_acc,test_std,mean_cos_vsft,min_cos_vsft,numerical_rank,s2_s1,mean_abs_basis_cos,mean_top1_weight,mean_entropy,max_possible_entropy,base_test_acc,delta_vs_base
0.0,0,0.0,0.7008141875267029,0.6849660277366638,0.0,0.6005335156276345,0.5930499474366854,0.1443091056935125,0.15202198922634125,0.12146781384944916,10,0.5969102382659912,0.17161695659160614,0.196231409907341,2.1650989055633545,2.302585092994046,0.5919370650810681,0.0011128823556172396
0.0,500,0.0,0.025406818836927414,0.025325782597064972,0.0,0.9984241092054443,0.564645351376837,0.15333364627854532,0.01691865362226963,0.0007833894342184067,10,0.8993591070175171,0.0586080364882946,0.6136970520019531,0.8319469094276428,2.302585092994046,0.5919370650810681,-0.027291713704231113
0.0,1000,0.0,0.010429427959024906,0.010385999456048012,0.0,0.9988824949320134,0.5666045462540681,0.15119584394967076,0.015451448038220406,0.0004588095471262932,10,0.8967920541763306,0.05800836533308029,0.6557728052139282,0.7330448031425476,2.302585092994046,0.5919370650810681,-0.02533251882700005
0.0,1500,0.0,0.00502254581078887,0.005022569093853235,0.0,0.9989943817706799,0.5648557426674026,0.15076533146703713,0.015768814831972122,0.0026029441505670547,10,0.9088804721832275,0.054224107414484024,0.6580272912979126,0.7277613282203674,2.302585092994046,0.5919370650810681,-0.027081322413665565
0.0,2000,0.0,0.0032140598632395267,0.003214041469618678,0.0,0.9989943817706799,0.5646681973621959,0.15030811169701652,0.016040852293372154,0.002999057061970234,10,0.9157581329345703,0.05244171619415283,0.6593003869056702,0.7262848019599915,2.302585092994046,0.5919370650810681,-0.02726886771887227
0.0,2500,0.0,0.0023238195572048426,0.002323779510334134,0.0,0.9989943817706799,0.5641817885321593,0.15054954497706852,0.016166482120752335,0.0031714248470962048,10,0.9196126461029053,0.0513777993619442,0.6603043675422668,0.7242929935455322,2.302585092994046,0.5919370650810681,-0.027755276548908858
0.0,3000,0.0,0.0018177380552515388,0.001817725715227425,0.0,0.9989943817706799,0.5637805169001149,0.15091524899294836,0.016227226704359055,0.0033447779715061188,10,0.9222722053527832,0.05055220052599907,0.6611551642417908,0.7225669026374817,2.302585092994046,0.5919370650810681,-0.028156548180953256
0.0,3500,0.0,0.0015041022561490536,0.0015040902653709054,0.0,0.9989943817706799,0.5645281065497963,0.15029035017825274,0.016247790306806564,0.003326697275042534,10,0.9243649244308472,0.04990240931510925,0.6616965532302856,0.7215312719345093,2.302585092994046,0.5919370650810681,-0.027408958531271788
0.0,4000,0.0,0.0012979033635929227,0.0012979181483387947,0.0,0.9989943817706799,0.5649049699639556,0.1506595889548207,0.016259051859378815,0.0033293534070253372,10,0.926135241985321,0.049369536340236664,0.6620126962661743,0.7214289903640747,2.302585092994046,0.5919370650810681,-0.027032095117112576
0.0,4500,0.0,0.0027881362475454807,0.002787904581055045,0.0,0.9989943817706799,0.5721342104140478,0.14624069490356684,0.01296551525592804,0.000887660076841712,10,0.8588398694992065,0.0711803138256073,0.8811479210853577,0.23343417048454285,2.302585092994046,0.5919370650810681,-0.019802854667020364
0.0,5000,0.0,0.001547858933918178,0.0015478479908779263,0.0,0.9989943817706799,0.5720504584303171,0.14699019426163246,0.012477259151637554,0.0007195365615189075,10,0.8614362478256226,0.06959181278944016,0.8769823312759399,0.24172215163707733,2.302585092994046,0.5919370650810681,-0.019886606650751038
0.0,5500,0.0,0.001259221462532878,0.0012592100538313389,0.0,0.9989943817706799,0.5707299278648995,0.14674949802435291,0.012307636439800262,0.0015663874801248312,10,0.8629991412162781,0.06855541467666626,0.8763942718505859,0.24260006844997406,2.302585092994046,0.5919370650810681,-0.021207137216168626
