rank,lam_pop,lam_d,step,loss,monitored,train_acc,test_acc,min_abs_basis_cos,base_test_acc,delta_vs_base
1,0.01,10.0,0,0.9771740436553955,0.920294463634491,0.41077329039446986,0.41724473648921334,1.0,0.6404648961125221,-0.22322015962330877
1,0.01,10.0,500,0.6667619943618774,0.641947865486145,0.6264632576076942,0.6254715511890071,1.0,0.6404648961125221,-0.014993344923515006
1,0.01,10.0,1000,0.6383815407752991,0.6266147494316101,0.6438336336587365,0.6413904057615748,1.0,0.6404648961125221,0.0009255096490526915
1,0.01,10.0,1500,0.6271294951438904,0.6210921406745911,0.6509791279130483,0.6472952195169062,1.0,0.6404648961125221,0.006830323404384053
1,0.01,10.0,2000,0.6221547722816467,0.6182774305343628,0.6541943425009785,0.6515047407048922,1.0,0.6404648961125221,0.011039844592370063
1,0.01,10.0,2500,0.6189709305763245,0.615938127040863,0.6563338703860891,0.6541610976461396,1.0,0.6404648961125221,0.013696201533617502
1,0.01,10.0,3000,0.6162823438644409,0.6135914325714111,0.6597345218014894,0.6571767060016851,1.0,0.6404648961125221,0.016711809889162987
1,0.01,10.0,3500,0.6137562990188599,0.611198902130127,0.6618556471800829,0.6597789214660713,1.0,0.6404648961125221,0.019314025353549202
1,0.01,10.0,4000,0.6113448143005371,0.608893632888794,0.6641013081028155,0.6614429013572007,1.0,0.6404648961125221,0.020978005244678632
1,0.01,10.0,4500,0.6090625524520874,0.6068031191825867,0.6670098907762583,0.6648678169303696,1.0,0.6404648961125221,0.02440292081784745
1,0.01,10.0,5000,0.6069146990776062,0.6049531102180481,0.6689679303090706,0.6665743817748476,1.0,0.6404648961125221,0.026109485662325516
1,0.01,10.0,5500,0.6048967838287354,0.6033177971839905,0.6704229083502077,0.6687194309123138,1.0,0.6404648961125221,0.028254534799791675
1,0.01,10.0,6000,0.602999210357666,0.6018685698509216,0.6714126768261669,0.6696223352147973,1.0,0.6404648961125221,0.029157439102275196
1,0.01,10.0,6500,0.6012107729911804,0.6005821228027344,0.6730746059944729,0.6710416866539642,1.0,0.6404648961125221,0.030576790541442134
1,0.01,10.0,7000,0.5995199084281921,0.5994401574134827,0.6744446713283389,0.6722245458968767,1.0,0.6404648961125221,0.03175964978435464
1,0.01,10.0,7500,0.5979163646697998,0.5984272360801697,0.6757733596372048,0.6731197561011685,1.0,0.6404648961125221,0.03265485998864637
1,0.01,10.0,8000,0.5963925719261169,0.5975335240364075,0.6778063277825792,0.6735143496493604,1.0,0.6404648961125221,0.0330494535368383
1,0.01,10.0,8500,0.5949457287788391,0.5967520475387573,0.6788661508137057,0.6743105875444969,1.0,0.6404648961125221,0.0338456914319748
1,0.01,10.0,9000,0.5935773849487305,0.5960784554481506,0.6806128845014684,0.6751380527627582,1.0,0.6404648961125221,0.03467315665023607
1,0.01,10.0,9500,0.5922940373420715,0.5955111384391785,0.6823041338976334,0.6753758643372786,1.0,0.6404648961125221,0.03491096822475648
1,0.01,10.0,10000,0.5911065340042114,0.5950489044189453,0.6841803547173073,0.6754913863416179,1.0,0.6404648961125221,0.035026490229095764
1,0.01,10.0,10500,0.5900281071662903,0.5946889519691467,0.685528159331566,0.676272656693342,1.0,0.6404648961125221,0.035807760580819914
1,0.01,10.0,11000,0.5890742540359497,0.5944238305091858,0.6871149215954143,0.6769952053218035,1.0,0.6404648961125221,0.03653030920928135
1,0.01,10.0,11500,0.5882583856582642,0.5942411422729492,0.6882199061347625,0.6774953658218464,1.0,0.6404648961125221,0.03703046970932433
1,0.01,10.0,12000,0.5875893235206604,0.5941268801689148,0.6890330369426898,0.6776663635983097,1.0,0.6404648961125221,0.037201467485787565
1,0.01,10.0,12500,0.5870681405067444,0.5940636992454529,0.6895710553867024,0.6775531084073844,1.0,0.6404648961125221,0.037088212294862255
1,0.01,10.0,13000,0.586685061454773,0.594035804271698,0.6901846463761345,0.6774433723291606,1.0,0.6404648961125221,0.03697847621663852
1,0.01,10.0,13500,0.5864205360412598,0.5940287709236145,0.6905780635085293,0.6773425926247515,1.0,0.6404648961125221,0.036877696512229385
1,0.01,10.0,14000,0.5862486362457275,0.594032883644104,0.6910598650178797,0.6773173574053393,1.0,0.6404648961125221,0.03685246129281716
1,0.01,10.0,14500,0.5861430168151855,0.5940402746200562,0.6912741238581893,0.6775311839694551,1.0,0.6404648961125221,0.037066287856933
1,0.01,10.0,15000,0.5860809683799744,0.5940479040145874,0.6910737360195196,0.6776165872273866,1.0,0.6404648961125221,0.037151691114864493
1,0.01,10.0,15500,0.5860456824302673,0.5940526127815247,0.6910780616318382,0.6777409498167088,1.0,0.6404648961125221,0.03727605370418674
1,0.01,10.0,16000,0.5860260725021362,0.5940555334091187,0.6912173488821665,0.6775739590749223,1.0,0.6404648961125221,0.03710906296240024
1,0.01,10.0,16500,0.5860155820846558,0.5940564274787903,0.6912800071723403,0.6774435663768006,1.0,0.6404648961125221,0.03697867026427848
1,0.01,10.0,17000,0.5860098004341125,0.5940566062927246,0.6911623058612998,0.6774163831433125,1.0,0.6404648961125221,0.03695148703079043
1,0.01,10.0,17500,0.5860068798065186,0.5940568447113037,0.6912463245939119,0.6775134960852571,1.0,0.6404648961125221,0.03704859997273502
1,0.01,10.0,18000,0.586005449295044,0.5940572619438171,0.6913651329297948,0.6776317865701589,1.0,0.6404648961125221,0.03716689045763677
1,0.01,10.0,18500,0.5860047936439514,0.5940585136413574,0.6914088180670703,0.677630871027613,1.0,0.6404648961125221,0.03716597491509088
1,0.01,10.0,19000,0.5860044956207275,0.5940596461296082,0.6914072877289005,0.6777378362182856,1.0,0.6404648961125221,0.03727294010576354
1,0.01,10.0,19500,0.586004376411438,0.5940606594085693,0.691411664109681,0.6777242119013313,1.0,0.6404648961125221,0.037259315788809144
1,0.01,10.0,19999,0.586004376411438,0.5940613150596619,0.691390172739718,0.6777353994587909,1.0,0.6404648961125221,0.0372705033462688
5,0.01,10.0,0,0.6703864336013794,0.6487389802932739,0.6303970205986538,0.6291116957456728,0.0014321226626634598,0.6404648961125221,-0.011353200366849281
5,0.01,10.0,500,0.5834019184112549,0.5897742509841919,0.6917848568667008,0.6776479873469735,0.0077862003818154335,0.6404648961125221,0.037183091234451404
5,0.01,10.0,1000,0.5748728513717651,0.5881526470184326,0.6974134840760043,0.6769842947580863,0.00647808238863945,0.6404648961125221,0.036519398645564194
5,0.01,10.0,1500,0.5724831819534302,0.5875242352485657,0.7001167234591545,0.6774028302759217,0.005886947736144066,0.6404648961125221,0.03693793416339963
5,0.01,10.0,2000,0.5695692896842957,0.5861775279045105,0.7033032104452156,0.6782839258659659,0.006120683625340462,0.6404648961125221,0.037819029753443756
5,0.01,10.0,2500,0.5686991214752197,0.5858795046806335,0.7040126937165397,0.6786259713639108,0.01024714857339859,0.6404648961125221,0.038161075251388676
5,0.01,10.0,3000,0.5684080719947815,0.5857424736022949,0.7043942250430141,0.6788694216898473,0.013434121385216713,0.6404648961125221,0.03840452557732521
5,0.01,10.0,3500,0.5681017637252808,0.585593581199646,0.7048841806071218,0.6788313086684021,0.014011652208864689,0.6404648961125221,0.038366412555880025
5,0.01,10.0,4000,0.5676262378692627,0.5854532122612,0.7058858089505295,0.6791133253848008,0.014310216531157494,0.6404648961125221,0.03864842927227874
5,0.01,10.0,4500,0.5670438408851624,0.5853947401046753,0.7069811014325915,0.67930051104802,0.01573716476559639,0.6404648961125221,0.03883561493549792
5,0.01,10.0,5000,0.5664539337158203,0.5854208469390869,0.7082395762933554,0.6791096569121075,0.017274517565965652,0.6404648961125221,0.03864476079958534
5,0.01,10.0,5500,0.5659842491149902,0.5854865908622742,0.7086874220943856,0.6789553715559425,0.017902040854096413,0.6404648961125221,0.038490475443420435
5,0.01,10.0,6000,0.565678596496582,0.5855680704116821,0.7095204741871193,0.6786000101206533,0.01758451573550701,0.6404648961125221,0.03813511400813119
5,0.01,10.0,6500,0.5654916763305664,0.5856217741966248,0.7097728341089425,0.6786345233635999,0.016888147220015526,0.6404648961125221,0.03816962725107775
