seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs
0,20,0.0,0.9998,0.6111,0.0003,20,0.6364,0.637,0.639,0.6213,200,120
1,20,0.0,0.9998,0.6049,0.0,20,0.6343,0.6372,0.6329,0.6212,200,120
2,20,0.0,0.9997,0.6154,0.0006,20,0.6397,0.6413,0.643,0.6146,200,120
3,20,0.0,0.9996,0.6051,0.0001,20,0.6363,0.6349,0.6279,0.6129,200,120
4,20,0.0,0.9998,0.6156,0.0003,20,0.6366,0.6375,0.632,0.6122,200,120
