seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs
0,20,0.0,0.9999,0.6252,0.0003,20,0.6361,0.6375,0.6458,0.6203,200,102
1,20,0.0,0.9998,0.6119,0.0,20,0.6349,0.6331,0.6309,0.6187,200,102
2,20,0.0,0.9999,0.6089,0.001,20,0.6354,0.6361,0.6359,0.6126,200,102
