seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7197,0.6775,0.0015,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6749
1,8,0.0,0.7121,0.6735,0.001,8,0.6393,0.6392,0.6338,0.6258,200,180,0.6733
2,8,0.0,0.7235,0.6734,0.0014,8,0.6422,0.6416,0.6468,0.6188,200,180,0.6729
3,8,0.0,0.7403,0.6538,0.003,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6523
4,8,0.0,0.7266,0.6775,0.0025,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6755
