seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7256,0.667,0.0014,8,0.6406,0.6383,0.6446,0.6372,141,189,0.668
1,8,0.0,0.7401,0.6601,0.0039,8,0.644,0.6434,0.6374,0.6239,141,189,0.6604
2,8,0.0,0.7454,0.6619,0.0038,8,0.6408,0.6419,0.6387,0.6293,141,189,0.6639
3,8,0.0,0.7392,0.6631,0.0051,8,0.6443,0.645,0.6432,0.6224,141,189,0.6634
4,8,0.0,0.7355,0.6748,0.0026,8,0.6449,0.6444,0.6454,0.6318,141,189,0.6771
