seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.736,0.6728,0.0003,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6747
1,8,0.0,0.722,0.6732,0.0012,8,0.6393,0.6392,0.6338,0.6258,200,180,0.6737
2,8,0.0,0.7329,0.6706,0.0044,8,0.6422,0.6416,0.6468,0.6188,200,180,0.673
3,8,0.0,0.7217,0.6545,0.0032,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6546
4,8,0.0,0.7113,0.6772,0.0029,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6765
