seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.714,0.6725,0.0002,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6762
1,8,0.0,0.7285,0.6745,0.0064,8,0.6393,0.6392,0.6338,0.6258,200,180,0.676
2,8,0.0,0.7337,0.6735,0.0065,8,0.6422,0.6416,0.6468,0.6188,200,180,0.6731
3,8,0.0,0.7236,0.6564,0.0046,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6543
4,8,0.0,0.7171,0.6765,0.0055,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6749
