seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs
0,20,0.0,0.9989,0.6186,0.0004,20,0.6438,0.6475,0.6476,0.631,200,225
1,20,0.0,0.9983,0.6079,0.0002,20,0.6392,0.6402,0.6345,0.6246,200,225
2,20,0.0,0.9989,0.6067,0.0001,20,0.64,0.64,0.6417,0.6249,200,225
