seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7164,0.6751,0.0006,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6758
1,8,0.0,0.7121,0.6734,0.0011,8,0.6393,0.6392,0.6338,0.6258,200,180,0.6734
2,8,0.0,0.7347,0.672,0.0004,8,0.6422,0.6416,0.6468,0.6188,200,180,0.6727
3,8,0.0,0.7365,0.6523,0.0018,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6525
4,8,0.0,0.7264,0.6779,0.0002,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6754
