seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7358,0.6737,0.0016,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6736
1,8,0.0,0.7203,0.6724,0.0001,8,0.6393,0.6392,0.6338,0.6258,200,180,0.6735
2,8,0.0,0.7477,0.6736,0.0234,8,0.6422,0.6416,0.6468,0.6188,200,180,0.673
3,8,0.0,0.7464,0.6575,0.0005,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6545
4,8,0.0,0.7432,0.6766,0.0026,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6763
