seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7224,0.6768,0.0027,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6758
1,8,0.0,0.712,0.6732,0.0009,8,0.6393,0.6392,0.6338,0.6258,200,180,0.6735
2,8,0.0,0.7218,0.6739,0.0005,8,0.6422,0.6416,0.6468,0.6188,200,180,0.6739
3,8,0.0,0.7185,0.6548,0.0012,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6547
4,8,0.0,0.7249,0.6767,0.0012,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6754
