pairs_per_user,signal_scale,seed,train_acc,test_acc,subspace_align,best_axis_match,min_abs_basis_cos,w_recovery,group_dir_match,personal,global,other_group,global_dir_norm,median_real_diff_norm
15,0.0,0,0.9983333334326744,0.53999999538064,0.0001858412433648482,0.0001502076629549265,0.01016027107834816,0.325,0.44999998807907104,0.536125,0.58025,0.5311250000000001,2.2002696990966797,22.03227424621582
15,0.0,1,1.0,0.5456249974668026,0.00015400044503621757,9.924062760546803e-05,0.002483316697180271,0.275,0.6499999761581421,0.5459375000000001,0.5595625,0.5470625000000001,3.4391157627105713,22.03227424621582
15,0.0,2,0.9983333334326744,0.5591249972581863,4.997264113626443e-05,4.324270412325859e-05,0.11163695901632309,0.375,0.574999988079071,0.5463125000000001,0.5736874999999999,0.5478125,3.542541265487671,22.03227424621582
15,0.0,3,1.0,0.5422499939799309,9.570495603838935e-05,7.301825098693371e-05,0.011955978348851204,0.325,0.5249999761581421,0.541625,0.583375,0.5461250000000001,2.5078952312469482,22.03227424621582
15,0.0,4,0.9983333334326744,0.5306249998509884,0.00013349950313568115,9.678537026047707e-05,0.04898746311664581,0.375,0.5249999761581421,0.540875,0.5676249999999999,0.521875,2.412867784500122,22.03227424621582
50,0.0,0,0.997000002861023,0.558874998241663,0.0018048810306936502,0.0013946415856480598,0.10713360458612442,0.35,0.5,0.57125,0.583625,0.576,2.7891674041748047,22.03227424621582
50,0.0,1,0.9980000019073486,0.5471249982714653,0.003752053016796708,0.003401446621865034,0.18376368284225464,0.4,0.5,0.5671875,0.5711875,0.5750624999999999,2.5917441844940186,22.03227424621582
50,0.0,2,0.9965000033378602,0.550500001013279,0.0023690196685492992,0.002083438914269209,0.049773652106523514,0.4,0.550000011920929,0.5606249999999999,0.57275,0.56175,2.850939989089966,22.03227424621582
50,0.0,3,0.9985000014305114,0.5454999975860119,0.00011814641766250134,9.392679203301668e-05,0.018702946603298187,0.325,0.44999998807907104,0.552125,0.5727499999999999,0.5543750000000001,2.5704874992370605,22.03227424621582
50,0.0,4,0.9980000019073486,0.5550000011920929,0.00434122234582901,0.003880160627886653,0.0248126033693552,0.35,0.5,0.5563125,0.5740624999999999,0.5471874999999999,2.601019859313965,22.03227424621582
100,0.0,0,0.9822500094771385,0.5716250002384186,6.078083242755383e-05,4.6184053644537926e-05,0.13419917225837708,0.375,0.574999988079071,0.56975,0.569375,0.5706249999999999,2.625976085662842,22.03227424621582
100,0.0,1,0.9847500115633011,0.5667500033974647,7.055661990307271e-05,5.986262112855911e-05,0.07604797184467316,0.375,0.5,0.564,0.57025,0.56475,2.8049156665802,22.03227424621582
100,0.0,2,0.984750010073185,0.565625,9.773309284355491e-05,9.223516099154949e-05,0.08908446133136749,0.425,0.4749999940395355,0.56725,0.5743750000000001,0.560875,2.318002223968506,22.03227424621582
100,0.0,3,0.9865000113844872,0.56112499833107,5.3776908316649497e-05,4.3502659536898136e-05,0.057218536734580994,0.425,0.550000011920929,0.5644375,0.5715625,0.5628124999999999,2.736593008041382,22.03227424621582
100,0.0,4,0.987500011920929,0.5412499912083149,8.816563058644533e-05,7.183040725067258e-05,0.0020064436830580235,0.425,0.5,0.5649375,0.5824374999999999,0.5753125,2.818389654159546,22.03227424621582
400,0.0,0,0.8310624986886979,0.5751250021159648,0.0002586201881058514,0.00025795045075938106,0.15782372653484344,0.425,0.6000000238418579,0.5743125,0.5766875,0.5753125000000001,2.958303451538086,22.03227424621582
400,0.0,1,0.8296874970197677,0.5742499962449074,0.00022964240633882582,0.00020535866497084498,0.1234712079167366,0.4,0.625,0.573125,0.5695,0.5705,2.7968995571136475,22.03227424621582
400,0.0,2,0.8306249976158142,0.5755000054836273,8.537153189536184e-05,7.449963595718145e-05,0.02557402290403843,0.325,0.5249999761581421,0.573125,0.57325,0.576375,2.690810203552246,22.03227424621582
400,0.0,3,0.826125006377697,0.5827499985694885,0.00013991929881740361,0.00011720124166458845,0.27991458773612976,0.325,0.375,0.56925,0.5666249999999999,0.5694999999999999,2.8345870971679688,22.03227424621582
400,0.0,4,0.8308749988675117,0.5867500022053719,0.0002404107799520716,0.0001982665853574872,0.19954338669776917,0.325,0.375,0.58075,0.5813750000000001,0.578125,2.830230474472046,22.03227424621582
1000,0.0,0,0.7494749963283539,0.585249999165535,0.0003346738521941006,0.0002995661925524473,0.21699000895023346,0.325,0.4749999940395355,0.577,0.579375,0.580875,2.778517246246338,22.03227424621582
1000,0.0,1,0.7504499986767769,0.5810000017285347,0.00037523318314924836,0.00035077170468866825,0.11253516376018524,0.35,0.5,0.5691875,0.5714375,0.5728125000000001,2.722062826156616,22.03227424621582
1000,0.0,2,0.7495000019669533,0.5851249977946281,0.0002270932891406119,0.000195692089619115,0.06976968050003052,0.35,0.5,0.5785,0.5796250000000001,0.578375,2.8409974575042725,22.03227424621582
1000,0.0,3,0.7487000003457069,0.6011250033974648,0.00040790243656374514,0.00036012555938214064,0.0789102166891098,0.4,0.6000000238418579,0.576625,0.57575,0.574125,2.8215932846069336,22.03227424621582
1000,0.0,4,0.7547249987721443,0.5813749998807907,0.0003107773372903466,0.0002637155703268945,0.07657036185264587,0.4,0.574999988079071,0.5763125,0.5784374999999999,0.5775625,2.924788236618042,22.03227424621582
15,0.5,0,1.0,0.8493749991059303,0.3938997685909271,0.473989337682724,0.14653368294239044,0.35,0.5,0.8767499999999998,0.8875,0.531,6.903478622436523,22.03227424621582
15,0.5,1,1.0,0.7998750060796738,0.3430725932121277,0.33709925413131714,0.057562291622161865,0.325,0.44999998807907104,0.873875,0.85125,0.5467500000000001,6.645547389984131,22.03227424621582
15,0.5,2,1.0,0.834749998152256,0.3858599066734314,0.328777939081192,0.24990364909172058,0.425,0.699999988079071,0.8779999999999999,0.8617500000000001,0.547625,7.334546089172363,22.03227424621582
15,0.5,3,1.0,0.8402499988675117,0.3824772536754608,0.3791269361972809,0.08229487389326096,0.325,0.44999998807907104,0.87775,0.88125,0.54625,6.501229286193848,22.03227424621582
15,0.5,4,1.0,0.8247500017285347,0.34490445256233215,0.340481162071228,0.09839294850826263,0.325,0.44999998807907104,0.87675,0.8803750000000001,0.5215,6.537652969360352,22.03227424621582
50,0.5,0,0.997000002861023,0.8581250041723252,0.20740658044815063,0.21173545718193054,0.0884949341416359,0.3,0.5,0.89175,0.876125,0.575875,6.827541828155518,22.03227424621582
50,0.5,1,0.9960000038146972,0.8644999980926513,0.20356832444667816,0.2584734857082367,0.09670910239219666,0.375,0.5,0.890125,0.8767499999999998,0.575,6.8434953689575195,22.03227424621582
50,0.5,2,0.984500004351139,0.8567500010132789,0.18744507431983948,0.1738729029893875,0.023226093500852585,0.425,0.5,0.892,0.8711249999999999,0.561625,6.831717014312744,22.03227424621582
50,0.5,3,0.9930000066757202,0.8516249939799309,0.1628328412771225,0.19666621088981628,0.08220912516117096,0.3,0.44999998807907104,0.8887500000000002,0.8758750000000001,0.5543750000000001,6.6763596534729,22.03227424621582
50,0.5,4,0.9890000090003014,0.8603749990463256,0.1796780377626419,0.22868770360946655,0.05408545583486557,0.375,0.5,0.889,0.875,0.5469999999999999,6.6817755699157715,22.03227424621582
100,0.5,0,0.9782500132918358,0.8747499987483025,0.13779297471046448,0.15657900273799896,0.013901611790060997,0.375,0.5249999761581421,0.89725,0.8790000000000001,0.5706249999999999,6.698693752288818,22.03227424621582
100,0.5,1,0.9825000137090683,0.8761250004172325,0.14389005303382874,0.15675589442253113,0.0023840947542339563,0.4,0.4749999940395355,0.8955,0.8734999999999999,0.564625,6.830368995666504,22.03227424621582
100,0.5,2,0.9762500107288361,0.8725000008940696,0.14452669024467468,0.1819787323474884,0.10001678019762039,0.35,0.550000011920929,0.897625,0.8841249999999998,0.56075,6.582281589508057,22.03227424621582
100,0.5,3,0.9792500168085099,0.8683750003576278,0.11938758939504623,0.15058621764183044,0.035390742123126984,0.35,0.44999998807907104,0.891,0.8707499999999999,0.5626249999999999,6.756200790405273,22.03227424621582
100,0.5,4,0.9762500137090683,0.8646249964833259,0.17745991051197052,0.21364825963974,0.011354949325323105,0.35,0.44999998807907104,0.8945000000000001,0.8728750000000002,0.575375,6.793458938598633,22.03227424621582
400,0.5,0,0.918750011920929,0.8965000003576279,0.14038801193237305,0.15882009267807007,0.06131177768111229,0.4,0.4749999940395355,0.898375,0.87375,0.575375,6.955491542816162,22.03227424621582
400,0.5,1,0.9162500113248825,0.8941250026226044,0.11911734193563461,0.15444207191467285,0.0020843043457716703,0.375,0.6499999761581421,0.8975,0.8765000000000001,0.570375,6.811118125915527,22.03227424621582
400,0.5,2,0.9078124985098839,0.8977500006556511,0.2298363745212555,0.3067479133605957,0.20533180236816406,0.4,0.574999988079071,0.899,0.8793749999999999,0.5762499999999999,6.760991096496582,22.03227424621582
400,0.5,3,0.914812508225441,0.8929999947547913,0.12607088685035706,0.15390650928020477,0.008303451351821423,0.375,0.550000011920929,0.8967500000000002,0.8731249999999999,0.569375,6.812471389770508,22.03227424621582
400,0.5,4,0.9115625023841858,0.8924999997019768,0.18703599274158478,0.2107466161251068,0.17233675718307495,0.45,0.574999988079071,0.8921250000000001,0.868375,0.577875,6.826556205749512,22.03227424621582
1000,0.5,0,0.9021499991416931,0.9017499998211861,0.16873808205127716,0.20323508977890015,0.012962881475687027,0.325,0.5249999761581421,0.8997499999999998,0.8765000000000001,0.5806250000000001,6.827328681945801,22.03227424621582
1000,0.5,1,0.9040000036358833,0.8971249997615814,0.15568815171718597,0.20851483941078186,0.026483021676540375,0.45,0.5249999761581421,0.8947500000000002,0.877,0.57275,6.82880973815918,22.03227424621582
1000,0.5,2,0.9006500035524369,0.902250000834465,0.3211013972759247,0.35263583064079285,0.17729783058166504,0.425,0.5249999761581421,0.89875,0.87675,0.578125,6.834900856018066,22.03227424621582
1000,0.5,3,0.902725002169609,0.9017499953508377,0.1638500988483429,0.21485792100429535,0.04700335115194321,0.4,0.5,0.898375,0.87675,0.5741249999999999,6.8563714027404785,22.03227424621582
1000,0.5,4,0.9003749996423721,0.8974999934434891,0.21205565333366394,0.27227285504341125,0.16588224470615387,0.4,0.5,0.8945000000000001,0.869,0.577375,6.873138427734375,22.03227424621582
15,1.0,0,1.0,0.8472500011324883,0.3823314905166626,0.3697545528411865,0.14397788047790527,0.35,0.675000011920929,0.896125,0.8963750000000001,0.531,13.270588874816895,22.03227424621582
15,1.0,1,1.0,0.8083749994635582,0.2272292971611023,0.18616598844528198,0.06726735830307007,0.375,0.4749999940395355,0.898,0.898,0.5467500000000001,11.881525993347168,22.03227424621582
15,1.0,2,0.9983333334326744,0.8342499986290932,0.2971924841403961,0.2892581820487976,0.017005614936351776,0.425,0.6499999761581421,0.896875,0.897125,0.54775,13.324170112609863,22.03227424621582
15,1.0,3,1.0,0.8387499958276748,0.27942726016044617,0.2100517749786377,0.11891450732946396,0.3,0.4000000059604645,0.9030000000000001,0.903125,0.546125,12.255420684814453,22.03227424621582
15,1.0,4,1.0,0.8177499964833259,0.21402665972709656,0.192921981215477,0.07957327365875244,0.325,0.6000000238418579,0.8971250000000002,0.8975,0.5217499999999999,12.389424324035645,22.03227424621582
50,1.0,0,0.997000002861023,0.8596249997615815,0.1219315454363823,0.11204603314399719,0.05132627859711647,0.375,0.5,0.9002500000000001,0.9002500000000001,0.575875,12.77195930480957,22.03227424621582
50,1.0,1,0.9920000046491623,0.8677499994635582,0.210369274020195,0.19996821880340576,0.10973184555768967,0.45,0.5,0.897625,0.897625,0.5751250000000001,12.929901123046875,22.03227424621582
50,1.0,2,0.9930000066757202,0.8508749976754189,0.0886421948671341,0.09252053499221802,0.010441183112561703,0.4,0.574999988079071,0.8995,0.8995,0.56175,12.739931106567383,22.03227424621582
50,1.0,3,0.9930000066757202,0.8554999992251396,0.09596221894025803,0.1021251305937767,0.1005040779709816,0.3,0.6499999761581421,0.898875,0.898875,0.55425,12.588601112365723,22.03227424621582
50,1.0,4,0.9945000052452088,0.859875001013279,0.08740057796239853,0.09928156435489655,0.017289478331804276,0.425,0.4749999940395355,0.8952500000000001,0.8952500000000001,0.54725,12.581277847290039,22.03227424621582
100,1.0,0,0.9790000140666961,0.8772499948740006,0.07005615532398224,0.07767253369092941,0.1030159592628479,0.4,0.4749999940395355,0.9027499999999999,0.9027499999999999,0.5706249999999999,12.601692199707031,22.03227424621582
