pairs_per_user,signal_scale,seed,train_acc,test_acc,subspace_align,best_axis_match,min_abs_basis_cos,w_recovery,group_dir_match,personal,global,other_group,global_dir_norm,median_real_diff_norm
15,0.0,0,0.9983333334326744,0.5386250019073486,0.00042529572965577245,0.0003137076273560524,0.01571165770292282,0.425,0.550000011920929,0.5393749999999999,0.580875,0.530375,2.173506021499634,22.03227424621582
15,0.0,1,1.0,0.5392499983310699,0.0003038001887034625,0.00022743991576135159,0.009822297841310501,0.375,0.5249999761581421,0.5458125,0.5591875,0.5470625,3.407280921936035,22.03227424621582
15,0.0,2,0.9983333334326744,0.5563749983906746,0.027353955432772636,0.022138377651572227,0.18904972076416016,0.4,0.5,0.5434375,0.5735625,0.5518125,3.5430550575256348,22.03227424621582
15,0.0,3,1.0,0.5400000013411045,0.0007798217702656984,0.0006288392469286919,0.0034746979363262653,0.325,0.4749999940395355,0.54025,0.580125,0.546875,2.481924057006836,22.03227424621582
15,0.0,4,0.9983333334326744,0.5324999995529651,0.0005642046453431249,0.0004177950322628021,0.05124033987522125,0.375,0.574999988079071,0.5379999999999999,0.568,0.526375,2.4117956161499023,22.03227424621582
50,0.0,0,0.9970000013709068,0.5539999976754189,0.0004317718849051744,0.0004235252272337675,0.0001918633934110403,0.4,0.44999998807907104,0.575375,0.58475,0.578,2.73720121383667,22.03227424621582
50,0.0,1,0.997000002861023,0.543375001847744,0.00825572106987238,0.0075553059577941895,0.002416700590401888,0.4,0.5,0.5714375,0.5733124999999999,0.5738125000000001,2.5872061252593994,22.03227424621582
50,0.0,2,0.9965000033378602,0.5537499994039535,0.01633567363023758,0.016124119982123375,0.024358518421649933,0.4,0.5,0.5595,0.5703750000000001,0.5615,2.821816921234131,22.03227424621582
50,0.0,3,0.9995000004768372,0.550374997407198,0.00014632490638177842,8.603231981396675e-05,0.0021576136350631714,0.325,0.4749999940395355,0.5501250000000001,0.569625,0.55525,2.5544259548187256,22.03227424621582
50,0.0,4,0.9990000009536744,0.5542499989271163,0.023767612874507904,0.02225923165678978,0.07252099364995956,0.375,0.5,0.5579375,0.5739375,0.5508124999999999,2.595275640487671,22.03227424621582
100,0.0,0,0.9850000098347664,0.5748750016093254,0.000567285402212292,0.000504250405356288,0.061176300048828125,0.375,0.5,0.568125,0.571,0.571875,2.617274522781372,22.03227424621582
100,0.0,1,0.9847500145435333,0.5688749969005584,0.00021024428133387119,0.00016405992209911346,0.08888284862041473,0.325,0.574999988079071,0.567,0.569875,0.566875,2.7836549282073975,22.03227424621582
100,0.0,2,0.9880000099539756,0.5660000026226044,0.0004360402817837894,0.0003033000975847244,0.02627108432352543,0.35,0.44999998807907104,0.5690000000000001,0.5716249999999999,0.5606249999999999,2.3092305660247803,22.03227424621582
100,0.0,3,0.9840000122785568,0.5518750011920929,0.00014856824418529868,0.00013070437125861645,0.06910572201013565,0.375,0.5,0.5669375000000001,0.5710624999999999,0.5626875,2.7210700511932373,22.03227424621582
100,0.0,4,0.9850000113248825,0.5472500011324882,0.0004537556378636509,0.0003157462924718857,0.013219399377703667,0.4,0.5,0.5663125,0.5795625,0.5756874999999999,2.79827880859375,22.03227424621582
400,0.0,0,0.8327500000596046,0.582124999165535,0.0006342396955005825,0.0005235318094491959,0.06459223479032516,0.35,0.5,0.5738125000000001,0.5751875,0.5771875,2.9354937076568604,22.03227424621582
400,0.0,1,0.8304999992251396,0.5778750002384185,0.0006638288614340127,0.00046850088983774185,0.16960252821445465,0.375,0.5,0.5727499999999999,0.56875,0.568125,2.7775678634643555,22.03227424621582
400,0.0,2,0.8340625017881393,0.5695000007748604,0.000463101954665035,0.0003490464296191931,0.045840516686439514,0.35,0.5,0.572875,0.571375,0.5734999999999999,2.6836602687835693,22.03227424621582
400,0.0,3,0.8325624957680702,0.5756249964237213,0.0005054444773122668,0.0003185949753969908,0.2695074677467346,0.375,0.4749999940395355,0.5675,0.5668749999999999,0.569125,2.8221378326416016,22.03227424621582
400,0.0,4,0.8278125017881394,0.5899999976158142,0.0005466604488901794,0.0004962636157870293,0.20447121560573578,0.4,0.5,0.57975,0.5795,0.5788749999999999,2.817009449005127,22.03227424621582
1000,0.0,0,0.7482999980449676,0.5819999992847442,0.0005388583522289991,0.00036115990951657295,0.29443129897117615,0.3,0.5249999761581421,0.5795,0.5795,0.5814999999999999,2.767200231552124,22.03227424621582
1000,0.0,1,0.7471000015735626,0.5781249970197677,0.0007189020980149508,0.0005848113214597106,0.010001291520893574,0.3,0.5,0.5698125,0.5690625,0.5719375,2.7079334259033203,22.03227424621582
1000,0.0,2,0.7493749991059303,0.5886250019073487,0.0004473999433685094,0.0003818513359874487,0.02611391618847847,0.375,0.5,0.577,0.5782499999999999,0.57625,2.829002857208252,22.03227424621582
1000,0.0,3,0.7511499986052513,0.598999997973442,0.000810714322142303,0.0005916701629757881,0.21727482974529266,0.325,0.5,0.576125,0.57575,0.5725,2.811544179916382,22.03227424621582
1000,0.0,4,0.752325001358986,0.5865000024437904,0.001352140330709517,0.0007892725989222527,0.019838113337755203,0.35,0.550000011920929,0.5779375,0.5766875,0.5769375,2.910362720489502,22.03227424621582
15,0.5,0,1.0,0.8516249999403953,0.7718775272369385,0.5199935436248779,0.014837805181741714,0.3,1.0,0.876625,0.5814999999999999,0.15225,2.17474627494812,22.03227424621582
15,0.5,1,1.0,0.7812500014901161,0.527742326259613,0.4093760550022125,0.00967646948993206,0.3,0.9750000238418579,0.876125,0.5587500000000001,0.159,3.4074788093566895,22.03227424621582
15,0.5,2,1.0,0.8388749949634076,0.5750553607940674,0.4214472770690918,0.34131431579589844,0.425,0.949999988079071,0.8793749999999999,0.57225,0.15162499999999998,3.575068712234497,22.03227424621582
15,0.5,3,1.0,0.837874998152256,0.6828660368919373,0.5253502726554871,0.01107676699757576,0.35,1.0,0.8786249999999999,0.578875,0.15687500000000001,2.4821958541870117,22.03227424621582
15,0.5,4,1.0,0.827249999344349,0.618924617767334,0.47405922412872314,0.07976987212896347,0.4,0.9750000238418579,0.8783750000000001,0.5706249999999999,0.154,2.4129133224487305,22.03227424621582
50,0.5,0,0.9965000033378602,0.8618749991059304,0.36093205213546753,0.22937989234924316,0.03830898925662041,0.35,1.0,0.89175,0.5834999999999999,0.130125,2.737999200820923,22.03227424621582
50,0.5,1,0.9960000038146972,0.863749997317791,0.35520151257514954,0.2118370085954666,0.030889390036463737,0.4,1.0,0.890375,0.5690000000000001,0.126125,2.5911667346954346,22.03227424621582
50,0.5,2,0.9940000057220459,0.8632499977946282,0.3183784782886505,0.24179719388484955,0.006798306480050087,0.35,1.0,0.8925000000000001,0.5705,0.13474999999999998,2.822354555130005,22.03227424621582
50,0.5,3,0.993000005185604,0.8583749979734421,0.332702100276947,0.21378201246261597,0.03323017433285713,0.375,1.0,0.8895,0.56925,0.13824999999999998,2.5550198554992676,22.03227424621582
50,0.5,4,0.9925000071525574,0.860250000655651,0.32525917887687683,0.21829140186309814,0.07009335607290268,0.375,1.0,0.888625,0.571,0.13799999999999998,2.5998542308807373,22.03227424621582
100,0.5,0,0.9772500157356262,0.8767500042915344,0.2654569447040558,0.16143804788589478,0.03822632133960724,0.35,1.0,0.8973749999999999,0.5740000000000001,0.115625,2.621814250946045,22.03227424621582
100,0.5,1,0.9792500153183937,0.87987499833107,0.2697502672672272,0.16832880675792694,0.02241886965930462,0.35,1.0,0.8952500000000001,0.56975,0.1325,2.7840960025787354,22.03227424621582
100,0.5,2,0.9770000129938126,0.8725000008940696,0.2558521628379822,0.16940772533416748,0.050519850105047226,0.425,1.0,0.89775,0.57225,0.132125,2.324949026107788,22.03227424621582
100,0.5,3,0.9760000124573708,0.8682500019669532,0.2565414011478424,0.1695704609155655,0.008361861109733582,0.35,1.0,0.89125,0.5702499999999999,0.126375,2.721158742904663,22.03227424621582
100,0.5,4,0.978250014781952,0.8720000013709068,0.2704979181289673,0.15631045401096344,0.008127151988446712,0.425,1.0,0.8949999999999999,0.578625,0.130375,2.799194812774658,22.03227424621582
400,0.5,0,0.917562511563301,0.8971249997615814,0.26178276538848877,0.15611504018306732,0.002221164759248495,0.325,1.0,0.89875,0.5740000000000001,0.12325,2.935765027999878,22.03227424621582
400,0.5,1,0.9130625113844871,0.8950000002980232,0.2544540762901306,0.15579786896705627,0.007526826113462448,0.375,1.0,0.8975000000000002,0.567,0.12400000000000003,2.778113842010498,22.03227424621582
400,0.5,2,0.9093125060200691,0.8969999969005584,0.2529277801513672,0.14902882277965546,0.15213628113269806,0.5,1.0,0.8995000000000001,0.57,0.120125,2.683683395385742,22.03227424621582
400,0.5,3,0.9137500077486038,0.8941249907016754,0.2542540431022644,0.150290846824646,0.024021554738283157,0.4,1.0,0.89725,0.567125,0.12325,2.822481870651245,22.03227424621582
400,0.5,4,0.9127500042319298,0.8918750002980232,0.24753357470035553,0.13700976967811584,0.010084995068609715,0.4,1.0,0.8925000000000001,0.5792499999999999,0.12937500000000002,2.8171181678771973,22.03227424621582
1000,0.5,0,0.9018999963998795,0.9020000010728836,0.3324276804924011,0.19971920549869537,0.08718757331371307,0.4,1.0,0.8997499999999998,0.57925,0.122,2.767306089401245,22.03227424621582
1000,0.5,1,0.9035000041127205,0.8973749995231628,0.33792102336883545,0.2181171476840973,0.018998626619577408,0.35,1.0,0.8947500000000002,0.568875,0.122875,2.7079391479492188,22.03227424621582
