pairs_per_user,signal_scale,seed,train_acc,test_acc,subspace_align,best_axis_match,min_abs_basis_cos,w_recovery,group_dir_match,personal,global,other_group,global_dir_norm,median_real_diff_norm
15,0.0,0,0.9983333334326744,0.5382500022649765,0.0009335571085102856,0.0007190365577116609,0.001912316307425499,0.35,0.44999998807907104,0.536125,0.5832499999999999,0.5303749999999999,1.8727797269821167,22.03227424621582
15,0.0,1,1.0,0.5440000005066394,0.0004493802844081074,0.00035182293504476547,0.011215774342417717,0.3,0.4000000059604645,0.5454375,0.5634375,0.5463125,2.863170623779297,22.03227424621582
15,0.0,2,0.9983333334326744,0.5447500005364418,0.0083300257101655,0.005962659604847431,0.4086620807647705,0.35,0.3499999940395355,0.5425625000000001,0.5783124999999999,0.5473125000000001,3.0516207218170166,22.03227424621582
15,0.0,3,1.0,0.5436250023543835,8.818393689580262e-05,5.780509673058987e-05,0.0029650055803358555,0.325,0.574999988079071,0.539125,0.58075,0.5396249999999999,2.1559152603149414,22.03227424621582
15,0.0,4,0.9983333334326744,0.5310000009834767,0.00011135212116641924,0.0001009209081530571,0.015408007428050041,0.375,0.550000011920929,0.531375,0.568875,0.523375,2.111726760864258,22.03227424621582
50,0.0,0,0.997000002861023,0.5558749966323375,0.0001907828846015036,0.00016206642612814903,0.019149553030729294,0.375,0.42500001192092896,0.570875,0.58575,0.5746249999999999,2.4348511695861816,22.03227424621582
50,0.0,1,0.9975000023841858,0.5482499986886978,0.006339986342936754,0.006231027655303478,0.29781556129455566,0.45,0.5,0.5609375,0.5693125,0.5669375000000001,2.1844348907470703,22.03227424621582
50,0.0,2,0.9980000019073486,0.5478749975562096,0.004620138090103865,0.0034398315474390984,0.10838566720485687,0.35,0.6000000238418579,0.55525,0.576125,0.5594999999999999,2.4222450256347656,22.03227424621582
50,0.0,3,0.9995000004768372,0.5408750012516975,0.00016644287097733468,0.00013133534230291843,0.03597082942724228,0.375,0.625,0.540625,0.574375,0.548125,2.069415807723999,22.03227424621582
50,0.0,4,0.9990000009536744,0.5557500019669532,0.014391688629984856,0.013262826949357986,0.1402880698442459,0.35,0.5,0.5506874999999999,0.5726875,0.5438125,2.213233470916748,22.03227424621582
100,0.0,0,0.984750010073185,0.5645000018179417,9.666759433457628e-05,7.557263597846031e-05,0.0838979110121727,0.375,0.5249999761581421,0.563,0.5742499999999999,0.56725,2.1834166049957275,22.03227424621582
100,0.0,1,0.9845000118017196,0.5689999997615814,0.00019712079665623605,0.00014949403703212738,0.10446237027645111,0.35,0.4749999940395355,0.5586249999999999,0.571375,0.5650000000000001,2.3911874294281006,22.03227424621582
100,0.0,2,0.9857500106096267,0.5662499994039536,0.00014890386955812573,0.00010940525680780411,0.0015342794358730316,0.4,0.4749999940395355,0.5602500000000001,0.5733750000000001,0.5543750000000001,1.9297597408294678,22.03227424621582
