group,rank,feature_id,alignment,mean_abs_dz,contribution,feature_top_concept,feature_top_concept_sign
fluency_high,0,4017,0.2974116802215576,5.400641918182373,0.9470470547676086,formatting,high
fluency_high,1,7815,0.4056571125984192,2.805318593978882,1.9382598400115967,fluency,high
fluency_high,2,13761,0.17493726313114166,5.478797435760498,0.6672539710998535,diversity,low
fluency_high,3,7399,0.1845863312482834,3.537705898284912,0.7045194506645203,creativity,high
fluency_high,4,5138,0.2262239158153534,2.6625871658325195,0.2893630862236023,formatting,high
fluency_high,5,9800,0.19131837785243988,3.02011775970459,0.21889345347881317,formatting,high
fluency_high,6,1810,-0.3842335641384125,1.4635810852050781,0.9260935187339783,formatting,high
fluency_high,7,387,-0.16605137288570404,3.2121617794036865,0.29746973514556885,diversity,high
fluency_high,8,4366,0.18711727857589722,2.786547899246216,0.045943859964609146,diversity,high
fluency_high,9,14550,0.180121049284935,2.733741521835327,0.6737116575241089,repetition,high
fluency_high,10,7066,-0.266217440366745,1.7238556146621704,-0.12179754674434662,repetition,high
fluency_high,11,7546,0.24593646824359894,1.8111246824264526,0.8645033240318298,fluency,high
fluency_high,12,7909,0.18967966735363007,2.120915651321411,0.09095818549394608,formatting,high
fluency_high,13,14665,-0.12128341943025589,2.986060857772827,0.02341250143945217,formatting,high
fluency_high,14,14278,-0.1406952291727066,2.2203335762023926,-0.07204931229352951,diversity,low
fluency_high,15,3047,-0.08099059760570526,3.1408772468566895,-0.006635514087975025,formatting,high
fluency_high,16,6675,0.12348400056362152,2.0204391479492188,0.11380121111869812,creativity,low
fluency_high,17,6693,-0.10184577852487564,2.4050369262695312,0.15212014317512512,creativity,high
fluency_high,18,3034,0.0941401943564415,2.262235403060913,0.1820511668920517,confidence,high
fluency_high,19,1570,-0.08222207427024841,2.583827257156372,-0.06322244554758072,diversity,low
fluency_low,0,4017,-0.29842841625213623,5.400641918182373,-0.9502846598625183,formatting,high
fluency_low,1,7815,-0.39693301916122437,2.805318593978882,-1.8965754508972168,fluency,high
fluency_low,2,13761,-0.1665012091398239,5.478797435760498,-0.6350767612457275,diversity,low
fluency_low,3,7399,-0.18539036810398102,3.537705898284912,-0.707588255405426,creativity,high
fluency_low,4,5138,-0.23232397437095642,2.6625871658325195,-0.2971656620502472,formatting,high
fluency_low,5,9800,-0.19481956958770752,3.02011775970459,-0.22289928793907166,formatting,high
fluency_low,6,1810,0.3752756118774414,1.4635810852050781,-0.9045027494430542,formatting,high
fluency_low,7,4366,-0.19111281633377075,2.786547899246216,-0.046924903988838196,diversity,high
fluency_low,8,14550,-0.18819156289100647,2.733741521835327,-0.703898012638092,repetition,high
fluency_low,9,387,0.15685315430164337,3.2121617794036865,-0.2809917628765106,diversity,high
fluency_low,10,7066,0.26616132259368896,1.7238556146621704,0.12177187204360962,repetition,high
fluency_low,11,7546,-0.24263058602809906,1.8111246824264526,-0.8528826236724854,fluency,high
fluency_low,12,7909,-0.19417206943035126,2.120915651321411,-0.09311245381832123,formatting,high
fluency_low,13,14665,0.11094198375940323,2.986060857772827,-0.0214161965996027,formatting,high
fluency_low,14,14278,0.14543962478637695,2.2203335762023926,0.07447889447212219,diversity,low
fluency_low,15,3047,0.08176066726446152,3.1408772468566895,0.006698605604469776,formatting,high
fluency_low,16,6675,-0.12182033061981201,2.0204391479492188,-0.11226799339056015,creativity,low
fluency_low,17,6693,0.1015540212392807,2.4050369262695312,-0.15168437361717224,creativity,high
fluency_low,18,1570,0.08425233513116837,2.583827257156372,0.06478356570005417,diversity,low
fluency_low,19,3034,-0.09517586976289749,2.262235403060913,-0.18405398726463318,confidence,high
repetition_high,0,4017,-0.37889954447746277,5.400641918182373,1.519486427307129,formatting,high
repetition_high,1,3047,-0.35380110144615173,3.1408772468566895,0.7968409061431885,formatting,high
repetition_high,2,9800,-0.3333349823951721,3.02011775970459,0.7371442317962646,formatting,high
repetition_high,3,5138,-0.28201228380203247,2.6625871658325195,0.5616083145141602,formatting,high
repetition_high,4,7066,0.36295565962791443,1.7238556146621704,1.5819873809814453,repetition,high
repetition_high,5,4366,-0.22417794167995453,2.786547899246216,0.4491606652736664,diversity,high
repetition_high,6,7399,-0.17104472219944,3.537705898284912,-0.1388343721628189,creativity,high
repetition_high,7,7815,-0.2127099633216858,2.805318593978882,0.5056232213973999,fluency,high
repetition_high,8,6675,-0.24486538767814636,2.0204391479492188,0.5445935130119324,creativity,low
repetition_high,9,13761,-0.08885727822780609,5.478797435760498,-0.21274180710315704,diversity,low
repetition_high,10,9022,0.3380700349807739,1.1332173347473145,0.47249990701675415,confidence,low
repetition_high,11,1570,0.12833969295024872,2.583827257156372,0.4034099578857422,diversity,low
repetition_high,12,3034,-0.14295102655887604,2.262235403060913,0.014477971009910107,confidence,high
repetition_high,13,3336,0.09205152094364166,3.3459036350250244,0.28352510929107666,creativity,high
repetition_high,14,7546,-0.17003925144672394,1.8111246824264526,-0.004780473653227091,fluency,high
repetition_high,15,7909,-0.13258671760559082,2.120915651321411,0.30164942145347595,formatting,high
repetition_high,16,14550,0.09829816222190857,2.733741521835327,0.4332246482372284,repetition,high
repetition_high,17,1810,0.18349064886569977,1.4635810852050781,0.027958571910858154,formatting,high
repetition_high,18,13813,-0.2243773192167282,1.1170737743377686,0.13343113660812378,diversity,high
repetition_high,19,387,0.06533128023147583,3.2121617794036865,-0.07546814531087875,diversity,high
repetition_low,0,4017,0.3771260976791382,5.400641918182373,-1.5123745203018188,formatting,high
repetition_low,1,3047,0.3505198359489441,3.1408772468566895,-0.7894507646560669,formatting,high
repetition_low,2,9800,0.32602837681770325,3.02011775970459,-0.7209862470626831,formatting,high
repetition_low,3,5138,0.2721642851829529,2.6625871658325195,-0.5419967174530029,formatting,high
repetition_low,4,7066,-0.36284202337265015,1.7238556146621704,-1.5814920663833618,repetition,high
repetition_low,5,4366,0.21793222427368164,2.786547899246216,-0.43664678931236267,diversity,high
repetition_low,6,7815,0.2124810516834259,2.805318593978882,-0.5050790905952454,fluency,high
repetition_low,7,7399,0.1603385955095291,3.537705898284912,0.1301443725824356,creativity,high
repetition_low,8,6675,0.2458195686340332,2.0204391479492188,-0.5467156767845154,creativity,low
repetition_low,9,13761,0.08882178366184235,5.478797435760498,0.21265682578086853,diversity,low
repetition_low,10,9022,-0.3352467119693756,1.1332173347473145,-0.46855393052101135,confidence,low
repetition_low,11,3336,-0.1053406223654747,3.3459036350250244,-0.32445645332336426,creativity,high
repetition_low,12,1570,-0.12574565410614014,2.583827257156372,-0.3952561020851135,diversity,low
repetition_low,13,3034,0.13599178194999695,2.262235403060913,-0.013773144222795963,confidence,high
repetition_low,14,7546,0.1678357720375061,1.8111246824264526,0.00471852533519268,fluency,high
repetition_low,15,14550,-0.1111539900302887,2.733741521835327,-0.48988351225852966,repetition,high
repetition_low,16,1810,-0.18431410193443298,1.4635810852050781,-0.0280840415507555,formatting,high
repetition_low,17,7909,0.12595118582248688,2.120915651321411,-0.28655287623405457,formatting,high
repetition_low,18,13813,0.22015997767448425,1.1170737743377686,-0.13092319667339325,diversity,high
repetition_low,19,13323,0.12191081792116165,1.8374910354614258,-0.15725338459014893,formatting,high
confidence_high,0,3047,0.33259904384613037,3.1408772468566895,0.7016620635986328,formatting,high
confidence_high,1,4017,0.1656985878944397,5.400641918182373,0.3382827639579773,formatting,high
confidence_high,2,9800,0.2061927318572998,3.02011775970459,0.3257693648338318,formatting,high
