config,alpha,test_acc,cos_meandiff,cos_truehead,bases_kept,min_abs_cos_cols,s2_over_s1
K=1,0.0,1.0,0.6961917877197266,0.05122814327478409,1,1.0,0.0
K=1,100.0,0.8430258730612876,0.1894770860671997,0.9975386261940002,1,1.0,0.0
K=1,1000.0,0.81315095082606,0.1648087501525879,0.9999918937683105,1,1.0,0.0
K=1,10000.0,0.80948000491766,0.16204799711704254,0.9999711513519287,1,1.0,0.0
K=5,0.0,1.0,nan,nan,4,0.8389466404914856,0.2056514322757721
K=5,1000.0,0.8241848707691458,nan,nan,5,0.9997150897979736,0.0015215660678222775
