seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7115,0.6932,0.0014,8,0.6594,0.6656,0.6608,0.6594,179,122,0.692
1,8,0.0,0.7224,0.6825,0.0001,8,0.6519,0.6596,0.6548,0.6495,179,122,0.6829
2,8,0.0,0.7211,0.6949,0.0057,8,0.6532,0.6615,0.6627,0.6534,179,122,0.6919
3,8,0.0,0.7213,0.6941,0.0,8,0.6553,0.6617,0.6621,0.6547,179,122,0.6899
4,8,0.0,0.7295,0.6958,0.0001,8,0.6499,0.6613,0.6539,0.6455,179,122,0.6984
