seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7115,0.6913,0.0016,8,0.6594,0.6656,0.6608,0.6594,179,122,0.6916
1,8,0.0,0.7222,0.6808,0.0043,8,0.6519,0.6596,0.6548,0.6495,179,122,0.685
2,8,0.0,0.7198,0.6967,0.0073,8,0.6532,0.6615,0.6627,0.6534,179,122,0.6941
3,8,0.0,0.7201,0.6903,0.0005,8,0.6553,0.6617,0.6621,0.6547,179,122,0.6901
4,8,0.0,0.7251,0.6939,0.0004,8,0.6499,0.6613,0.6539,0.6455,179,122,0.6977
