seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7215,0.6941,0.0036,8,0.6594,0.6656,0.6608,0.6594,179,122,0.6947
1,8,0.0,0.7185,0.6842,0.0003,8,0.6519,0.6596,0.6548,0.6495,179,122,0.6838
2,8,0.0,0.7109,0.6911,0.0074,8,0.6532,0.6615,0.6627,0.6534,179,122,0.6913
3,8,0.0,0.732,0.6978,0.0026,8,0.6553,0.6617,0.6621,0.6547,179,122,0.6956
4,8,0.0,0.7323,0.6972,0.0064,8,0.6499,0.6613,0.6539,0.6455,179,122,0.6979
