seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7099,0.6905,0.0006,8,0.6594,0.6656,0.6608,0.6594,179,122,0.6899
1,8,0.0,0.7178,0.6791,0.0035,8,0.6519,0.6596,0.6548,0.6495,179,122,0.6793
2,8,0.0,0.7184,0.6966,0.0105,8,0.6532,0.6615,0.6627,0.6534,179,122,0.694
3,8,0.0,0.7189,0.6846,0.0018,8,0.6553,0.6617,0.6621,0.6547,179,122,0.6886
4,8,0.0,0.7218,0.6894,0.0023,8,0.6499,0.6613,0.6539,0.6455,179,122,0.6973
