seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7209,0.6955,0.0015,8,0.6594,0.6656,0.6608,0.6594,179,122,0.694
1,8,0.0,0.7186,0.6841,0.0002,8,0.6519,0.6596,0.6548,0.6495,179,122,0.6839
2,8,0.0,0.7109,0.6907,0.0073,8,0.6532,0.6615,0.6627,0.6534,179,122,0.6912
3,8,0.0,0.7301,0.6976,0.0032,8,0.6553,0.6617,0.6621,0.6547,179,122,0.6954
4,8,0.0,0.7332,0.6957,0.0004,8,0.6499,0.6613,0.6539,0.6455,179,122,0.698
