seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,8,0.0,0.7148,0.6948,0.0005,8,0.6594,0.6656,0.6608,0.6594,179,122,0.6926
1,8,0.0,0.7289,0.6812,0.0031,8,0.6519,0.6596,0.6548,0.6495,179,122,0.6791
2,8,0.0,0.727,0.6922,0.0011,8,0.6532,0.6615,0.6627,0.6534,179,122,0.689
3,8,0.0,0.7256,0.6966,0.0006,8,0.6553,0.6617,0.6621,0.6547,179,122,0.6976
4,8,0.0,0.7347,0.6963,0.0015,8,0.6499,0.6613,0.6539,0.6455,179,122,0.6984
